iter	RMSE	R2
0	8862.084076	0.102954451
10	6236.606973	0.5557376437
20	5645.625131	0.6359451349
30	5411.944826	0.6654588969
40	5273.808004	0.6823188884
50	5186.85321	0.6927084071
60	5102.861744	0.7025798643
70	5034.114535	0.7105397396
80	4985.181293	0.7161396872
90	4944.249014	0.7207819852
100	4910.5941	0.7245702556
110	4870.387536	0.7290620738
120	4837.426981	0.7327168327
130	4811.25042	0.7356016821
140	4775.057678	0.7395646052
150	4742.600675	0.7430930334
160	4710.454084	0.7465639954
170	4680.136151	0.7498158809
180	4645.134001	0.7535440783
190	4621.193036	0.7560779933
200	4597.900392	0.7585307235
210	4567.959043	0.7616653609
220	4538.927004	0.7646852446
230	4510.883375	0.7675840326
240	4478.858026	0.7708724265
250	4455.212757	0.7732853102
260	4433.20253	0.7755198682
270	4402.792865	0.77858896
280	4379.989642	0.7808765128
290	4360.376148	0.7828345789
300	4339.485519	0.7849104798
310	4328.713007	0.785977048
320	4305.050141	0.7883105611
330	4286.000039	0.7901798925
340	4260.550967	0.7926642015
350	4247.997234	0.7938842331
360	4234.801246	0.7951628012
370	4222.555022	0.7963457872
380	4209.599343	0.7975935771
390	4195.323978	0.7989640288
400	4181.383203	0.8002978666
410	4164.953654	0.8018641282
420	4154.554026	0.8028523587
430	4144.694681	0.8037869669
440	4130.282904	0.8051491237
450	4113.185985	0.8067589189
460	4099.785171	0.8080160317
470	4090.627002	0.8088727878
480	4083.509863	0.8095372803
490	4070.92619	0.8107093248
499	4054.578737	0.8122265262
