iter	Passed	Remaining
0	147	73524
1	309	76984
2	449	74447
3	531	65879
4	655	64865
5	750	61780
6	812	57223
7	859	52846
8	919	50172
9	980	48027
10	1087	48325
11	1198	48739
12	1278	47894
13	1370	47580
14	1473	47651
15	1534	46403
16	1598	45411
17	1673	44801
18	1739	44041
19	1836	44084
20	1882	42932
21	1935	42059
22	2022	41939
23	2098	41624
24	2162	41078
25	2232	40703
26	2316	40582
27	2380	40120
28	2443	39690
29	2525	39562
30	2593	39238
31	2651	38776
32	2707	38316
33	2789	38236
34	2860	38010
35	2945	37967
36	3012	37691
37	3072	37358
38	3138	37096
39	3277	37696
40	3397	38038
41	3485	38005
42	3543	37657
43	3587	37175
44	3655	36961
45	3728	36799
46	3819	36814
47	3870	36447
48	3940	36271
49	3994	35951
50	4061	35760
51	4139	35663
52	4220	35595
53	4274	35303
54	4366	35327
55	4500	35681
56	4626	35956
57	4755	36241
58	4862	36342
59	4965	36413
60	5081	36569
61	5229	36945
62	5436	37713
63	5568	37934
64	5674	37976
65	5828	38325
66	5930	38329
67	5995	38088
68	6134	38320
69	6267	38497
70	6332	38260
71	6450	38347
72	6586	38528
73	6706	38609
74	6854	38843
75	6919	38602
76	6977	38332
77	7030	38038
78	7085	37758
79	7165	37617
80	7243	37468
81	7292	37175
82	7397	37167
83	7483	37063
84	7547	36850
85	7679	36966
86	7739	36739
87	7790	36475
88	7926	36605
89	8126	37018
90	8231	36997
91	8349	37026
92	8474	37087
93	8557	36959
94	8632	36803
95	8692	36582
96	8828	36679
97	8885	36450
98	9049	36654
99	9108	36433
100	9167	36214
101	9274	36190
102	9404	36249
103	9523	36261
104	9643	36276
105	9719	36125
106	9781	35925
107	9847	35743
108	9991	35842
109	10088	35768
110	10151	35576
111	10202	35344
112	10322	35350
113	10438	35343
114	10492	35127
115	10545	34908
116	10660	34896
117	10724	34719
118	10854	34751
119	10985	34786
120	11123	34842
121	11234	34808
122	11327	34720
123	11414	34610
124	11494	34484
125	11575	34357
126	11660	34246
127	11798	34288
128	11906	34241
129	12012	34188
130	12158	34246
131	12276	34226
132	12372	34141
133	12421	33926
134	12549	33929
135	12600	33724
136	12666	33561
137	12782	33532
138	12934	33593
139	13056	33573
140	13184	33569
141	13319	33580
142	13442	33560
143	13580	33573
144	13721	33593
145	13820	33509
146	13936	33466
147	14126	33597
148	14320	33735
149	14491	33813
150	14628	33811
151	14730	33726
152	14890	33770
153	15059	33834
154	15236	33913
155	15403	33967
156	15532	33934
157	15672	33924
158	15783	33850
159	15875	33734
160	15985	33659
161	16110	33613
162	16152	33395
163	16258	33309
164	16297	33088
165	16423	33044
166	16518	32938
167	16646	32896
168	16739	32786
169	16857	32722
170	16955	32621
171	17076	32565
172	17217	32544
173	17338	32484
174	17458	32423
175	17557	32321
176	17676	32256
177	17824	32244
178	17967	32220
179	18110	32196
180	18211	32096
181	18383	32120
182	18566	32161
183	18673	32069
184	18826	32055
185	18958	32004
186	19119	32002
187	19293	32018
188	19427	31967
189	19599	31978
190	19713	31893
191	19838	31823
192	20010	31830
193	20153	31788
194	20295	31743
195	20356	31572
196	20497	31526
197	20626	31460
198	20722	31343
199	20844	31266
200	20988	31221
201	21092	31116
202	21273	31123
203	21395	31045
204	21517	30964
205	21649	30898
206	21759	30799
207	21865	30696
208	21987	30613
209	22036	30430
210	22172	30368
211	22323	30325
212	22401	30183
213	22501	30071
